# format:
# graphic behaviour health stamina attack speed red green blue width height hitbox_width hitbox_height
# player
0 0 10 10 3 6 255 255 255 16 16 16 16
# green square
0 1 6 6 2 3 0 255 0 16 16 16 16
# blue square
0 1 10 10 5 3 0 0 255 16 16 16 16
# red square
0 1 15 10 8 6 255 0 0 16 16 16 16
# green triangle
1 1 12 9 4 4 0 255 0 16 16 16 16
# blue triangle
1 1 16 15 8 7 0 0 255 16 16 16 16
# red triangle
1 1 20 15 12 10 255 0 0 16 16 16 16
# green disc
2 1 22 12 10 6 0 255 0 16 16 16 16
# blue disc
2 1 26 18 12 10 0 0 255 16 16 16 16
# red disc
2 1 30 18 15 13 255 0 0 16 16 16 16
